Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","203","Espagne","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","533890","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","63","Estonie","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","62894","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","209","Eswatini","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","2239","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","231","États-Unis d'Amérique","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","526798","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","238","Éthiopie","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","524","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","185","Fédération de Russie","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","373140","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","66","Fidji","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","9143","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","67","Finlande","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","91659","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","68","France","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","1736607","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","74","Gabon","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","85706","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","75","Gambie","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","8127","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","73","Géorgie","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","64790","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","81","Ghana","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","130880","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","84","Grèce","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","219451","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","86","Grenade","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","11298","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","89","Guatemala","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","122098","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","90","Guinée","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","45984","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","61","Guinée équatoriale","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","31392","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","175","Guinée-Bissau","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","4373","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","91","Guyana","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","1517","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","93","Haïti","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","99163","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","95","Honduras","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","35871","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","97","Hongrie","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","146816","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","47","Îles Cook","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","2389","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","64","Îles Féroé","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","3260","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","25","Îles Salomon","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","12784","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","100","Inde","5622","Importations - Valeur","2074","Viande de Volailles","2018","2018","1000 US$","693","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
