Code Domaine,Domaine,Code zone,Zone,Code de devise ISO,Devise,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"PE","Taux de change - Annuels","103","Iraq","IQD","Iraqi Dinar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1182.75","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","104","Irlande","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","99","Islande","ISK","Iceland Krona","5540","Unités de monnaie locale standardisée par USD","2018","2018","","108.3002","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","105","Israël","ILS","New Israeli Sheqel","5540","Unités de monnaie locale standardisée par USD","2018","2018","","3.5906","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","106","Italie","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","109","Jamaïque","JMD","Jamaican Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","128.8715","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","110","Japon","JPY","Yen","5540","Unités de monnaie locale standardisée par USD","2018","2018","","110.4232","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","112","Jordanie","JOD","Jordanian Dinar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.71","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","108","Kazakhstan","KZT","Tenge","5540","Unités de monnaie locale standardisée par USD","2018","2018","","344.7058","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","114","Kenya","KES","Kenyan Shilling","5540","Unités de monnaie locale standardisée par USD","2018","2018","","101.3016","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","113","Kirghizistan","KGS","Som","5540","Unités de monnaie locale standardisée par USD","2018","2018","","68.8403","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","83","Kiribati","AUD","Australian Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1.3384","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","118","Koweït","KWD","Kuwaiti Dinar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.302","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","122","Lesotho","LSL","Loti","5540","Unités de monnaie locale standardisée par USD","2018","2018","","13.2409","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","119","Lettonie","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","121","Liban","LBP","Lebanese Pound","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1507.5","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","123","Libéria","USD","US Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","124","Libye","LYD","Libyan Dinar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1.365","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","125","Liechtenstein","CHF","Swiss Franc","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.9779","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","126","Lituanie","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","256","Luxembourg","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","154","Macédoine du Nord","MKD","Denar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","52.1071","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","129","Madagascar","MGA","Malagasy Ariary","5540","Unités de monnaie locale standardisée par USD","2018","2018","","3334.7523","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","131","Malaisie","MYR","Malaysian Ringgit","5540","Unités de monnaie locale standardisée par USD","2018","2018","","4.0351","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","130","Malawi","MWK","Malawi Kwacha","5540","Unités de monnaie locale standardisée par USD","2018","2018","","732.3333","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","132","Maldives","MVR","Rufiyaa","5540","Unités de monnaie locale standardisée par USD","2018","2018","","15.3908","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","133","Mali","XOF","CFA Franc BCEAO","5540","Unités de monnaie locale standardisée par USD","2018","2018","","555.4465","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","134","Malte","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
